sent1,sent2,score
"['plane', 'taking']","['air', 'plane', 'taking']",5.0
"['man', 'playing', 'large', 'flute']","['man', 'playing', 'flute']",3.8
"['man', 'spreading', 'shreded', 'cheese', 'pizza']","['man', 'spreading', 'shredded', 'cheese', 'uncooked', 'pizza']",3.8
"['three', 'men', 'playing', 'chess']","['two', 'men', 'playing', 'chess']",2.6
"['man', 'playing', 'cello']","['man', 'seated', 'playing', 'cello']",4.25
"['men', 'fighting']","['two', 'men', 'fighting']",4.25
"['man', 'smoking']","['man', 'skating']",0.5
"['man', 'playing', 'piano']","['man', 'playing', 'guitar']",1.6
"['man', 'playing', 'guitar', 'singing']","['woman', 'playing', 'acoustic', 'guitar', 'singing']",2.2
"['person', 'throwing', 'cat', 'ceiling']","['person', 'throw', 'cat', 'ceiling']",5.0
"['man', 'hit', 'man', 'stick']","['man', 'spanked', 'man', 'stick']",4.2
"['woman', 'pick', 'hold', 'baby', 'kangaroo']","['woman', 'pick', 'hold', 'baby', 'kangaroo', 'arm']",4.6
"['man', 'playing', 'flute']","['man', 'playing', 'bamboo', 'flute']",3.867
"['person', 'folding', 'piece', 'paper']","['someone', 'folding', 'piece', 'paper']",4.667
"['man', 'running', 'road']","['panda', 'dog', 'running', 'road']",1.667
"['dog', 'trying', 'get', 'bacon', 'back']","['dog', 'trying', 'eat', 'bacon', 'back']",3.75
"['polar', 'bear', 'sliding', 'snow']","['polar', 'bear', 'sliding', 'across', 'snow']",5.0
"['woman', 'writing']","['woman', 'swimming']",0.5
"['cat', 'rubbing', 'baby', 'face']","['cat', 'rubbing', 'baby']",3.8
"['man', 'riding', 'horse']","['man', 'riding', 'horse']",5.0
"['man', 'pours', 'oil', 'pot']","['man', 'pours', 'wine', 'pot']",3.2
"['man', 'playing', 'guitar']","['girl', 'playing', 'guitar']",2.8
"['panda', 'sliding', 'slide']","['panda', 'slide', 'slide']",4.6
"['woman', 'eating', 'something']","['woman', 'eating', 'meat']",3.0
"['woman', 'peel', 'potato']","['woman', 'peeling', 'potato']",5.0
"['boy', 'fell', 'bike']","['boy', 'fall', 'bike']",4.8
"['woman', 'playing', 'flute']","['woman', 'playing', 'flute']",5.0
"['rabbit', 'running', 'eagle']","['hare', 'running', 'eagle']",4.2
"['woman', 'frying', 'breaded', 'pork', 'chop']","['woman', 'cooking', 'breaded', 'pork', 'chop']",4.2
"['girl', 'flying', 'kite']","['girl', 'running', 'flying', 'kite']",4.0
"['man', 'riding', 'mechanical', 'bull']","['man', 'rode', 'mechanical', 'bull']",4.0
"['man', 'playing', 'guitar']","['man', 'playing', 'guitar']",4.909
"['woman', 'dancing', 'singing', 'woman']","['woman', 'dancing', 'singing', 'rain']",3.0
"['man', 'slicing', 'bun']","['man', 'slicing', 'onion']",2.4
"['man', 'pouring', 'oil', 'pan']","['man', 'pouring', 'oil', 'skillet']",4.2
"['lion', 'playing', 'people']","['lion', 'playing', 'two', 'men']",3.4
"['dog', 'ride', 'skateboard']","['dog', 'riding', 'skateboard']",5.0
"['someone', 'carving', 'statue']","['man', 'carving', 'statue']",3.75
"['woman', 'slicing', 'onion']","['man', 'cutting', 'onion']",2.75
"['woman', 'peel', 'shrimp']","['woman', 'peeling', 'shrimp']",5.0
"['woman', 'frying', 'fish']","['woman', 'cooking', 'fish']",4.0
"['woman', 'playing', 'electric', 'guitar']","['woman', 'playing', 'guitar']",3.6
"['baby', 'tiger', 'playing', 'ball']","['baby', 'playing', 'doll']",1.6
"['person', 'slicing', 'tomato']","['person', 'slicing', 'meat']",1.75
"['person', 'cut', 'onion']","['person', 'cutting', 'onion']",5.0
"['man', 'playing', 'piano']","['woman', 'playing', 'violin']",1.0
"['woman', 'playing', 'flute']","['man', 'playing', 'guitar']",1.0
"['man', 'cutting', 'potato']","['man', 'cutting', 'carrot']",2.375
"['kid', 'playing', 'guitar']","['boy', 'playing', 'guitar']",3.8
"['boy', 'playing', 'guitar']","['man', 'playing', 'guitar']",3.2
"['man', 'playing', 'guitar']","['boy', 'playing', 'guitar']",3.2
"['little', 'boy', 'playing', 'keyboard']","['boy', 'playing', 'key', 'board']",4.4
"['man', 'playing', 'guitar']","['man', 'playing', 'electric', 'guitar']",3.75
"['dog', 'lick', 'baby']","['dog', 'licking', 'baby']",4.75
"['woman', 'slicing', 'onion']","['man', 'cutting', 'onion']",3.2
"['man', 'playing', 'guitar']","['man', 'playing', 'drum']",1.556
"['woman', 'slicing', 'pepper']","['woman', 'cutting', 'red', 'pepper']",3.938
"['man', 'playing', 'drum']","['man', 'play', 'drum']",5.0
"['woman', 'ride', 'horse']","['woman', 'riding', 'horse']",5.0
"['man', 'eating', 'banana', 'tree']","['man', 'eating', 'banana']",4.0
"['cat', 'playing', 'key', 'board']","['man', 'playing', 'two', 'keyboard']",1.6
"['man', 'chop', 'tree', 'axe']","['man', 'cut', 'tree', 'axe']",4.75
"['kid', 'play', 'toy', 'phone']","['little', 'boy', 'play', 'toy', 'phone']",3.5
"['man', 'riding', 'motorcycle']","['man', 'riding', 'horse']",1.4
"['man', 'riding', 'motorcycle']","['man', 'riding', 'horse']",1.4
"['squirrel', 'spinning', 'around', 'circle']","['squirrel', 'run', 'around', 'circle']",4.0
"['man', 'woman', 'kissing']","['man', 'woman', 'kiss']",5.0
"['man', 'getting', 'car']","['man', 'getting', 'car', 'garage']",3.833
"['man', 'dancing']","['man', 'talking']",0.6
"['man', 'playing', 'guitar', 'singing']","['man', 'playing', 'guitar']",2.917
"['person', 'cutting', 'mushroom']","['person', 'cutting', 'mushroom', 'knife']",4.2
"['tiger', 'cub', 'making', 'sound']","['tiger', 'walking', 'around']",2.0
"['person', 'slicing', 'onion']","['person', 'peeling', 'onion']",2.6
"['man', 'playing', 'piano']","['man', 'playing', 'trumpet']",1.6
"['woman', 'peeling', 'potato']","['woman', 'peeling', 'apple']",2.0
"['pankda', 'eating', 'bamboo']","['panda', 'bear', 'eating', 'bamboo']",4.2
"['person', 'peeling', 'onion']","['person', 'peeling', 'eggplant']",2.0
"['monkey', 'push', 'another', 'monkey']","['monkey', 'pushed', 'monkey']",4.8
"['squirrel', 'run', 'around', 'circle']","['squirrel', 'moving', 'circle']",4.4
"['man', 'tying', 'shoe']","['man', 'tie', 'shoe']",5.0
"['boy', 'singing', 'playing', 'piano']","['boy', 'playing', 'piano']",3.0
"['dog', 'eating', 'water', 'melon']","['dog', 'eating', 'piece', 'watermelon']",4.25
"['woman', 'chopping', 'broccoli']","['woman', 'chopping', 'broccoli', 'knife']",4.25
"['man', 'peeling', 'potato']","['man', 'peeled', 'potatoe']",3.8
"['woman', 'playing', 'guitar']","['man', 'play', 'guitar']",2.4
"['woman', 'slicing', 'tomato']","['man', 'slicing', 'onion']",1.6
"['man', 'swim', 'underwater']","['woman', 'swimming', 'underwater']",2.0
"['man', 'woman', 'talking']","['man', 'woman', 'eating']",1.6
"['small', 'dog', 'chasing', 'yoga', 'ball']","['dog', 'chasing', 'ball']",4.0
"['men', 'playing', 'cricket']","['men', 'playing', 'basketball']",2.2
"['man', 'ride', 'motorcycle']","['man', 'riding', 'motorcycle']",4.4
"['man', 'playing', 'guitar']","['man', 'singing', 'playing', 'guitar']",3.6
"['man', 'talked', 'telephone']","['man', 'talking', 'phone']",3.6
"['man', 'fishing']","['man', 'exercising']",0.5
"['man', 'levitating']","['man', 'talking']",0.8
"['two', 'boy', 'driving']","['two', 'bay', 'dancing']",0.6
"['man', 'riding', 'horse']","['girl', 'riding', 'horse']",2.6
"['man', 'riding', 'bicycle']","['monkey', 'riding', 'bike']",2.0
"['man', 'slicing', 'potato']","['woman', 'peeling', 'potato']",2.2
"['woman', 'peeling', 'potato']","['man', 'slicing', 'potato']",2.4
"['man', 'playing', 'guitar']","['someoen', 'playing', 'guitar']",3.6
"['woman', 'slicing', 'leek']","['woman', 'slicing', 'ginger']",2.2
"['man', 'cut', 'paper', 'plate']","['man', 'cutting', 'paper', 'plate']",4.8
"['man', 'playing', 'guitar']","['man', 'playing', 'flute']",1.643
"['man', 'playing', 'piano']","['man', 'playing', 'violin']",1.75
"['woman', 'slicing', 'meat']","['woman', 'breading', 'meat']",2.25
"['man', 'playing', 'keyboard']","['man', 'playing', 'keyboard', 'piano']",4.0
"['lady', 'chopped', 'green', 'onion']","['lady', 'cut', 'green', 'onion']",4.8
"['someone', 'sitring', 'noodle', 'water']","['woman', 'boiling', 'noodle', 'water']",3.2
